               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086312,            0.065779,            0.061573,            0.044221,             0.24072,            0.047034,             0.01879,            0.062248,            0.043609,            0.054863,             0.00081,             0.00081,             0.09271
                   1,            0.061317,            0.056701,            0.052351,            0.053082,              0.2752,            0.065198,            0.027165,            0.056992,            0.035095,            0.049134,           0.0016299,           0.0016299,             0.08533
                   2,            0.056333,            0.053628,            0.048376,             0.31947,             0.19025,             0.11433,            0.057098,            0.051423,            0.034819,            0.045214,           0.0024491,           0.0024491,            0.077949
                   3,            0.053549,            0.052785,            0.046025,             0.33998,             0.23053,             0.12545,            0.062209,            0.049552,            0.033997,            0.043256,           0.0032674,           0.0032674,            0.070567
                   4,            0.051262,             0.05326,            0.043194,             0.26146,             0.19352,             0.12223,            0.062697,            0.050279,            0.038014,            0.044059,           0.0040843,           0.0040843,            0.063184
                   5,            0.049259,            0.053935,            0.042234,             0.37355,             0.26356,             0.16491,            0.081538,            0.047151,            0.034353,            0.041676,           0.0048992,           0.0048992,            0.055799
                   6,            0.049013,            0.052948,            0.040421,             0.39557,             0.22327,             0.16681,            0.084321,            0.047998,            0.036519,            0.041862,           0.0057119,           0.0057119,            0.048412
                   7,            0.048237,            0.052926,            0.040337,              0.3962,             0.18801,             0.13545,            0.063101,            0.049769,            0.039694,            0.042836,           0.0065219,           0.0065219,            0.041022
                   8,            0.047942,             0.05419,            0.039494,             0.35452,             0.21562,             0.13134,            0.069655,            0.048482,            0.039677,            0.042324,           0.0073287,           0.0073287,            0.033629
                   9,            0.047634,             0.05551,            0.038897,             0.34037,             0.25333,             0.14373,            0.070705,            0.049301,            0.038685,            0.050441,            0.008132,            0.008132,            0.026232
                  10,            0.047511,            0.055118,            0.038525,             0.36272,             0.15354,             0.11334,             0.05703,            0.054364,            0.041499,            0.046878,           0.0089312,           0.0089312,            0.018831
                  11,            0.047314,            0.054357,            0.038758,              0.2906,             0.21059,             0.13467,            0.071578,            0.050986,            0.040625,            0.045732,           0.0097261,           0.0097261,            0.011426
                  12,            0.047529,             0.05487,            0.038992,             0.25857,             0.22277,             0.15007,            0.081351,            0.048421,            0.039856,             0.04507,           0.0098743,           0.0098743,           0.0098743
                  13,            0.047603,             0.05611,            0.038487,             0.22071,             0.28381,             0.18223,            0.093087,            0.051185,            0.038282,            0.043634,           0.0098743,           0.0098743,           0.0098743
                  14,            0.046134,             0.05624,            0.036821,             0.42228,             0.20819,             0.17772,            0.097891,             0.04871,            0.036937,            0.039775,           0.0098527,           0.0098527,           0.0098527
                  15,            0.046022,            0.055169,            0.035876,             0.36627,              0.2012,             0.17352,            0.090405,            0.049844,            0.039917,             0.04143,           0.0098293,           0.0098293,           0.0098293
                  16,            0.044812,             0.05399,            0.035456,             0.24346,             0.29824,              0.1975,             0.11336,            0.048083,            0.038001,            0.044794,           0.0098042,           0.0098042,           0.0098042
                  17,              0.0448,            0.052303,            0.035076,              0.3491,             0.29413,             0.23829,             0.13103,            0.046693,            0.036107,            0.039814,           0.0097775,           0.0097775,           0.0097775
                  18,            0.044203,            0.051705,            0.034437,             0.20928,             0.24091,             0.17236,             0.09142,            0.046849,            0.042125,            0.041073,           0.0097491,           0.0097491,           0.0097491
                  19,            0.043898,              0.0525,            0.034277,             0.29693,             0.30614,              0.2324,             0.12899,            0.045574,            0.037121,            0.038917,           0.0097191,           0.0097191,           0.0097191
                  20,            0.043308,            0.051468,            0.033277,             0.35424,             0.30694,             0.25196,             0.15005,            0.045491,            0.036382,            0.041152,           0.0096875,           0.0096875,           0.0096875
                  21,            0.043257,            0.052351,            0.033092,             0.26686,             0.28983,             0.22331,             0.12541,            0.045698,            0.038564,            0.038645,           0.0096542,           0.0096542,           0.0096542
                  22,            0.043207,            0.052245,            0.031572,             0.31605,              0.3211,             0.24816,             0.13688,            0.045873,            0.036323,             0.03988,           0.0096193,           0.0096193,           0.0096193
                  23,            0.042535,            0.051442,            0.031827,             0.34408,             0.27564,             0.23162,             0.13768,            0.045632,            0.039136,            0.041581,           0.0095828,           0.0095828,           0.0095828
                  24,            0.042534,            0.051307,            0.030877,             0.31078,             0.31765,             0.24085,             0.13848,            0.047112,            0.036599,            0.042039,           0.0095448,           0.0095448,           0.0095448
                  25,            0.042178,            0.049564,            0.030327,             0.27875,             0.43992,              0.3115,             0.19534,            0.045115,            0.035975,            0.040457,           0.0095052,           0.0095052,           0.0095052
                  26,            0.042038,            0.052649,            0.030181,              0.3174,             0.37139,             0.27196,             0.16226,            0.044877,            0.037971,            0.040171,           0.0094641,           0.0094641,           0.0094641
                  27,            0.041771,            0.051189,            0.029251,             0.38543,             0.35288,             0.31605,             0.19993,            0.043768,            0.035401,            0.040224,           0.0094215,           0.0094215,           0.0094215
                  28,             0.04105,             0.04865,            0.028798,             0.29682,              0.3667,             0.25581,             0.15256,            0.044644,            0.036573,            0.041507,           0.0093773,           0.0093773,           0.0093773
                  29,             0.04123,            0.050226,            0.028352,              0.3507,              0.3918,             0.32328,             0.20071,            0.044475,            0.036462,            0.039239,           0.0093317,           0.0093317,           0.0093317
                  30,            0.040984,            0.049315,             0.02774,              0.3861,             0.20207,             0.18372,             0.10735,            0.047309,            0.039323,            0.049146,           0.0092846,           0.0092846,           0.0092846
                  31,            0.040996,             0.04895,            0.027357,             0.44139,             0.32536,             0.32921,             0.19456,            0.044639,              0.0353,            0.039209,           0.0092361,           0.0092361,           0.0092361
                  32,            0.040423,             0.04936,              0.0277,             0.36658,             0.37156,             0.31513,             0.19527,            0.043948,            0.035018,            0.038626,           0.0091861,           0.0091861,           0.0091861
                  33,            0.039927,            0.048823,            0.026374,             0.43206,             0.35471,             0.33354,             0.20266,            0.043661,            0.036697,            0.042064,           0.0091348,           0.0091348,           0.0091348
                  34,            0.040678,            0.049205,            0.026208,             0.40337,             0.41413,             0.35593,             0.21756,            0.043879,            0.035354,            0.037682,           0.0090821,           0.0090821,           0.0090821
                  35,            0.040267,            0.048755,            0.026422,             0.42302,             0.36289,             0.33815,             0.21324,            0.043251,            0.035238,            0.039479,            0.009028,            0.009028,            0.009028
                  36,            0.040053,             0.04855,            0.025708,             0.42342,             0.36419,             0.34126,             0.19968,            0.043407,            0.037642,             0.03907,           0.0089726,           0.0089726,           0.0089726
                  37,            0.040023,            0.049108,            0.024033,             0.44371,             0.40885,             0.38196,              0.2476,            0.043485,            0.034745,            0.037554,           0.0089159,           0.0089159,           0.0089159
                  38,            0.039919,            0.047284,            0.024127,             0.42211,             0.36239,             0.33349,              0.2022,            0.044471,            0.035954,            0.039898,           0.0088579,           0.0088579,           0.0088579
                  39,            0.039352,            0.047155,            0.024153,             0.29287,             0.29052,             0.23271,             0.14711,            0.045388,            0.037972,             0.04607,           0.0087987,           0.0087987,           0.0087987
                  40,            0.038894,            0.047743,            0.024135,             0.50005,             0.37685,             0.38744,             0.24112,            0.043175,            0.034237,             0.03965,           0.0087382,           0.0087382,           0.0087382
                  41,            0.039208,            0.047508,            0.023865,             0.41793,             0.38175,             0.34002,             0.20778,             0.04331,             0.03706,            0.042586,           0.0086765,           0.0086765,           0.0086765
                  42,            0.038942,            0.046573,             0.02336,             0.45255,              0.3727,             0.36436,             0.22708,            0.043032,            0.035049,            0.041544,           0.0086137,           0.0086137,           0.0086137
                  43,            0.038665,            0.046924,            0.022865,             0.44807,             0.35924,             0.36372,             0.22502,            0.043828,            0.034926,             0.04048,           0.0085497,           0.0085497,           0.0085497
                  44,            0.038991,            0.046471,            0.022902,             0.49189,             0.39988,              0.3909,             0.25475,            0.043391,            0.035554,            0.039998,           0.0084846,           0.0084846,           0.0084846
                  45,             0.03864,            0.046664,            0.022261,             0.46316,             0.37975,             0.37262,             0.24311,            0.042876,            0.035289,            0.039813,           0.0084184,           0.0084184,           0.0084184
                  46,            0.038653,            0.046223,             0.02169,             0.47333,             0.40498,             0.39474,             0.24446,             0.04277,             0.03431,            0.039658,           0.0083511,           0.0083511,           0.0083511
                  47,            0.038215,            0.046798,            0.021393,              0.4962,             0.40017,             0.39636,             0.26939,            0.042788,            0.035135,            0.041298,           0.0082829,           0.0082829,           0.0082829
                  48,            0.038055,            0.045289,            0.021128,             0.42396,             0.39957,             0.37306,              0.2359,            0.042885,            0.035072,            0.040462,           0.0082136,           0.0082136,           0.0082136
                  49,            0.037502,             0.04585,            0.020673,             0.49949,             0.41611,             0.41423,             0.27003,            0.042268,            0.034549,             0.03888,           0.0081433,           0.0081433,           0.0081433
                  50,            0.037331,            0.046029,            0.020789,             0.43907,             0.42116,             0.39609,               0.258,            0.042583,            0.035119,            0.040539,           0.0080721,           0.0080721,           0.0080721
                  51,            0.037895,             0.04598,            0.020299,              0.4715,               0.411,             0.39375,             0.25555,            0.042861,            0.035812,            0.039776,               0.008,               0.008,               0.008
                  52,             0.03763,            0.044026,            0.019829,             0.43506,             0.43033,             0.40262,             0.26179,            0.042464,            0.034444,            0.040555,            0.007927,            0.007927,            0.007927
                  53,            0.036851,            0.044394,            0.020172,             0.47491,              0.4156,             0.40014,             0.27068,            0.043971,            0.036303,            0.040665,           0.0078532,           0.0078532,           0.0078532
                  54,            0.036609,            0.045365,            0.019272,             0.47093,             0.40858,             0.40118,             0.26268,            0.042621,             0.03492,            0.040942,           0.0077785,           0.0077785,           0.0077785
                  55,            0.036494,            0.044392,            0.018742,             0.40193,             0.44714,             0.38541,             0.25719,            0.042762,            0.035521,            0.040386,           0.0077031,           0.0077031,           0.0077031
                  56,            0.036775,            0.045894,            0.018771,             0.51094,             0.40628,             0.40748,             0.27318,            0.042713,            0.034572,            0.040451,           0.0076269,           0.0076269,           0.0076269
                  57,            0.036195,            0.045115,            0.018216,             0.52508,             0.38195,             0.40496,             0.27841,            0.041876,            0.035072,            0.040548,           0.0075501,           0.0075501,           0.0075501
                  58,            0.036681,            0.045531,            0.017779,              0.4821,             0.43991,             0.42839,             0.29179,            0.042269,            0.034692,            0.040989,           0.0074725,           0.0074725,           0.0074725
                  59,            0.036159,            0.043855,             0.01791,             0.53364,             0.41618,             0.43275,             0.29375,            0.042413,            0.035073,            0.040185,           0.0073943,           0.0073943,           0.0073943
                  60,            0.036248,            0.044444,            0.017272,             0.46391,             0.45174,             0.41762,             0.28347,            0.042052,            0.034887,            0.042305,           0.0073155,           0.0073155,           0.0073155
                  61,              0.0362,            0.043345,             0.01751,             0.47106,             0.41293,             0.39845,             0.26926,            0.043107,             0.03555,            0.041376,           0.0072361,           0.0072361,           0.0072361
                  62,            0.036146,            0.043758,            0.017014,             0.48246,             0.44674,             0.43032,             0.29428,            0.043111,            0.034499,            0.040347,           0.0071561,           0.0071561,           0.0071561
                  63,            0.035918,            0.042751,            0.016671,             0.51992,              0.4103,             0.42039,              0.2906,            0.043093,            0.035332,            0.042406,           0.0070757,           0.0070757,           0.0070757
                  64,            0.035582,            0.042984,            0.016554,             0.51283,             0.43292,             0.43211,             0.29418,            0.042057,            0.035175,            0.040561,           0.0069948,           0.0069948,           0.0069948
                  65,             0.03538,            0.044702,            0.016509,             0.44841,             0.47905,             0.42553,             0.29207,            0.042562,            0.035428,            0.041569,           0.0069134,           0.0069134,           0.0069134
                  66,            0.035082,            0.042233,            0.016009,             0.50921,             0.45548,             0.44122,             0.30529,            0.042789,            0.034933,            0.041776,           0.0068316,           0.0068316,           0.0068316
                  67,            0.035133,            0.042261,            0.016086,             0.49836,             0.41789,             0.42355,             0.28552,            0.042184,            0.035099,            0.041375,           0.0067495,           0.0067495,           0.0067495
