               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039765,            0.048137,            0.025539,             0.57413,             0.46219,             0.50156,             0.32363,            0.037738,            0.029084,             0.02454,           0.0099037,           0.0099037,           0.0099037
                  37,            0.040414,            0.050395,            0.024479,             0.64606,             0.51171,             0.57307,             0.37292,            0.035343,            0.027594,             0.02078,           0.0098981,           0.0098981,           0.0098981
                  38,            0.040173,            0.048246,             0.02496,              0.5958,             0.50131,             0.53768,             0.34695,            0.036115,            0.028707,            0.021505,           0.0098924,           0.0098924,           0.0098924
                  39,            0.039652,            0.048169,            0.025446,             0.63452,             0.51851,             0.58306,              0.3828,            0.035628,            0.027811,            0.020912,           0.0098865,           0.0098865,           0.0098865
                  40,            0.039709,            0.048968,            0.024091,             0.65068,             0.54971,             0.61233,             0.40451,            0.034802,            0.026349,            0.018944,           0.0098805,           0.0098805,           0.0098805
                  41,            0.039557,             0.04807,            0.023873,             0.66166,             0.52581,             0.59349,              0.3962,            0.034739,            0.027298,            0.018733,           0.0098743,           0.0098743,           0.0098743
                  42,            0.039582,            0.047825,            0.023686,             0.64321,              0.5446,             0.60877,             0.38645,            0.034649,            0.026272,            0.018471,            0.009868,            0.009868,            0.009868
                  43,            0.040158,            0.047155,            0.023941,             0.69029,             0.55477,             0.63089,             0.42213,            0.034488,            0.026049,            0.018072,           0.0098615,           0.0098615,           0.0098615
                  44,            0.039285,            0.047732,             0.02446,             0.68686,             0.56231,             0.64045,             0.42472,            0.034458,            0.025857,            0.018195,           0.0098549,           0.0098549,           0.0098549
                  45,            0.039006,            0.047501,            0.023438,             0.65702,              0.5805,             0.64397,             0.43039,            0.034072,            0.026005,             0.01697,           0.0098481,           0.0098481,           0.0098481
                  46,            0.039833,            0.048218,            0.022904,             0.70807,              0.5546,             0.64349,             0.42864,             0.03362,            0.026134,            0.016568,           0.0098412,           0.0098412,           0.0098412
                  47,            0.039116,            0.048102,            0.022907,             0.66567,             0.57717,             0.64299,               0.431,            0.033998,            0.025458,            0.016987,           0.0098341,           0.0098341,           0.0098341
                  48,            0.038391,            0.047829,             0.02204,             0.70709,             0.57051,             0.66311,             0.44235,            0.033204,            0.025012,            0.015547,           0.0098268,           0.0098268,           0.0098268
                  49,            0.039304,            0.047429,            0.022035,             0.71059,             0.58091,              0.6615,             0.44678,            0.033507,            0.025756,             0.01541,           0.0098195,           0.0098195,           0.0098195
                  50,            0.038431,            0.046897,            0.021881,             0.74015,             0.58985,             0.68689,             0.46781,             0.03265,            0.024628,            0.015668,           0.0098119,           0.0098119,           0.0098119
                  51,            0.038765,            0.047511,            0.020933,             0.73011,             0.59167,             0.68356,             0.46498,            0.033045,              0.0249,            0.015018,           0.0098042,           0.0098042,           0.0098042
                  52,            0.039011,             0.04764,            0.021017,             0.67116,             0.61325,             0.66877,             0.45834,            0.032804,            0.025423,            0.014694,           0.0097964,           0.0097964,           0.0097964
                  53,            0.038409,            0.046899,            0.021843,             0.72584,             0.59902,             0.69449,             0.47787,            0.032431,            0.024437,            0.014245,           0.0097884,           0.0097884,           0.0097884
                  54,            0.038693,            0.046739,            0.021488,             0.73514,             0.61597,             0.71051,             0.48877,            0.032208,            0.024066,            0.013452,           0.0097803,           0.0097803,           0.0097803
                  55,            0.038279,            0.047251,             0.02059,             0.74134,             0.60851,             0.70162,             0.48374,            0.031754,            0.023953,            0.013223,            0.009772,            0.009772,            0.009772
                  56,            0.038072,            0.046864,            0.020571,             0.75432,             0.61786,             0.71808,              0.4925,            0.031669,            0.023878,            0.012962,           0.0097635,           0.0097635,           0.0097635
                  57,            0.037626,            0.046082,            0.020539,             0.74708,             0.61504,             0.71128,             0.48927,            0.031827,            0.024031,            0.013757,           0.0097549,           0.0097549,           0.0097549
                  58,            0.038108,            0.045844,            0.020068,             0.73211,             0.63552,             0.71887,             0.50025,            0.031643,            0.023776,            0.012885,           0.0097462,           0.0097462,           0.0097462
                  59,            0.037824,            0.045939,            0.019738,             0.75044,             0.64646,             0.73066,             0.50953,            0.031408,            0.023421,            0.012145,           0.0097373,           0.0097373,           0.0097373
                  60,            0.037978,            0.046529,            0.019377,             0.73198,             0.66251,             0.73832,             0.51057,            0.030954,            0.023047,             0.01195,           0.0097283,           0.0097283,           0.0097283
                  61,            0.037644,            0.045824,            0.019739,             0.76418,             0.65127,             0.74955,             0.52384,            0.030879,            0.022988,            0.011288,           0.0097191,           0.0097191,           0.0097191
